origin,mae,rmse,n,cov50,cov80,cov95,crps
2021-01-01,256.2672769830753,323.8894627520358,48,0.7916666666666666,1.0,1.0,241.6266184141355
2021-01-02,117.9398313467144,140.38411089710286,48,1.0,1.0,1.0,193.121150911021
2021-01-03,363.2507719271352,427.4660238436882,48,0.7916666666666666,1.0,1.0,261.8526179418581
2021-01-04,836.2507420107149,1042.4383225955316,48,0.4375,0.6458333333333334,0.8541666666666666,584.172635993495
2021-01-05,1183.851129699865,1373.856495013841,48,0.041666666666666664,0.3958333333333333,0.8541666666666666,805.6109343651951
2021-01-06,406.17139390983226,496.7298515739711,48,0.7291666666666666,1.0,1.0,281.37664733581573
2021-01-07,176.949215595784,264.5160147556075,48,0.9583333333333334,1.0,1.0,211.46055477993596
2021-01-08,300.66150638211724,369.799595330189,48,0.8958333333333334,1.0,1.0,242.56177107222683
2021-01-09,567.4693907614811,704.7742359974947,48,0.4791666666666667,0.7708333333333334,1.0,402.3090756050448
2021-01-10,486.4725274502088,635.9624343896721,48,0.5833333333333334,0.75,1.0,375.80124943048537
2021-01-11,477.63264934977815,588.9734166359908,48,0.5416666666666666,1.0,1.0,329.7684642371673
2021-01-12,1358.2766907687399,1631.7830232142403,48,0.20833333333333334,0.4375,0.6875,990.0125193828244
2021-01-13,1528.8071031146544,1760.1320712684271,48,0.16666666666666666,0.25,0.4791666666666667,1131.1160645610164
2021-01-14,1530.7141115513596,1874.7875546498606,48,0.1875,0.375,0.625,1151.613378447102
2021-01-15,1725.431350365894,1946.2887195297217,48,0.10416666666666667,0.14583333333333334,0.3125,1307.4227291547522
2021-01-16,998.3777739925996,1252.2050352051613,48,0.3333333333333333,0.5,0.7916666666666666,728.1776617722502
2021-01-17,2212.5108022014388,2468.119466390562,48,0.041666666666666664,0.125,0.2708333333333333,1787.9743934807718
2021-01-18,298.08111488355786,440.4958849501243,48,0.8541666666666666,1.0,1.0,250.2925066952736
2021-01-19,490.0677181884962,660.9337822975164,48,0.5833333333333334,0.6875,1.0,394.16031814625467
2021-01-20,842.0267247074727,1159.7473215668904,48,0.5,0.5625,1.0,601.043623036917
2021-01-21,677.3216816381008,803.0602103713675,48,0.375,0.9166666666666666,1.0,430.8895515338895
2021-01-22,783.4776956545767,1029.6758448537369,48,0.5,0.7708333333333334,0.9166666666666666,536.4601983042008
