origin,mae,rmse,n
2021-01-01,362.06125,425.5846368967047,48
2021-01-02,192.44624999999996,233.42245406665572,48
2021-01-03,208.49416666666662,267.4662984066091,48
2021-01-04,720.42875,966.5518268480656,48
2021-01-05,479.8574999999999,566.5816455103064,48
2021-01-06,423.74562499999996,556.696661172327,48
2021-01-07,231.44937499999995,290.98918594955256,48
2021-01-08,134.15729166666668,176.50355615515707,48
2021-01-09,322.20979166666683,402.3095461183052,48
2021-01-10,324.01874999999995,378.11148163163017,48
2021-01-11,889.7591666666667,1031.4082180506903,48
2021-01-12,515.1235416666667,639.037932332985,48
2021-01-13,206.51604166666667,275.49137133719813,48
2021-01-14,418.5733333333333,648.274885327076,48
2021-01-15,551.6881250000001,806.8327784860898,48
2021-01-16,1685.0204166666663,1926.4763977358593,48
2021-01-17,214.17333333333337,231.5874445179042,48
2021-01-18,1407.7364583333335,1611.377051971,48
2021-01-19,605.4543749999999,786.4534307639688,48
2021-01-20,230.03875000000002,267.08203792717575,48
2021-01-21,389.199375,482.12384087018205,48
2021-01-22,983.3222916666667,1260.3641377767578,48
2021-01-23,201.06645833333332,250.11843480889206,48
2021-01-24,373.20187500000003,505.8443511821761,48
2021-01-25,716.999375,829.6282130305417,48
2021-01-26,402.9956250000001,501.06346753471934,48
2021-01-27,1512.2454166666666,1802.1759009527898,48
2021-01-28,599.55625,662.620799977257,48
2021-01-29,114.13687499999982,141.82869543190694,48
2021-01-30,462.4602083333331,554.1693504866088,48
2021-01-31,338.6714583333334,421.72551219908826,48
2021-02-01,779.8166666666667,900.2713992504334,48
2021-02-02,545.4595833333334,688.0669158894843,48
2021-02-03,229.18291666666664,277.495108485417,48
2021-02-04,594.2614583333333,795.9004418725478,48
2021-02-05,377.6160416666666,462.74734414643945,48
2021-02-06,785.8385416666666,964.0306363594382,48
2021-02-07,525.5739583333334,670.4283772288805,48
2021-02-08,568.2170833333334,797.832073799577,48
2021-02-09,137.82979166666672,171.00318867031885,48
2021-02-10,69.19520833333327,99.06898006145354,48
2021-02-11,318.9304166666666,433.52330513576,48
2021-02-12,496.4635416666668,632.7273554077223,48
2021-02-13,906.79625,1204.3421775617455,48
2021-02-14,804.4125,975.8755483218645,48
2021-02-15,671.0533333333334,782.0009278500464,48
2021-02-16,256.37416666666655,274.5267690651192,48
2021-02-17,116.38666666666667,133.01835991696788,48
2021-02-18,107.24208333333341,143.34791710206335,48
2021-02-19,402.4156250000001,447.4117969895482,48
2021-02-20,382.2906249999999,497.17986479366795,48
2021-02-21,225.63187499999992,273.85542389720274,48
2021-02-22,657.4120833333334,837.4396175297258,48
2021-02-23,585.095,846.4133268730671,48
2021-02-24,167.95083333333332,201.25817933689058,48
2021-02-25,230.07541666666665,265.0799821201769,48
2021-02-26,255.72791666666663,389.3821616088321,48
2021-02-27,455.6110416666667,557.3269055893049,48
